,categories,name,prices,site,url
2021,['sativa'],Space Queen by Vic High Growers,"[['3-5-grams', '35'], ['7-grams', '68'], ['14-grams', '130'], ['28-grams', '240']]",greensociety.ca,https://www.greensociety.ca/product/space-queen-by-vic-high-growers/
2022,['hybrid'],Black Diamond,"[['28-grams', '220'], ['7-grams', '64'], ['3-5-grams', '33'], ['14-grams', '120']]",greensociety.ca,https://www.greensociety.ca/product/black-diamond/
2023,['hybrid'],God Green Crack,"[['3-5-grams', '45'], ['14-grams', '165'], ['7-grams', '85'], ['28-grams', '320']]",greensociety.ca,https://www.greensociety.ca/product/god-green-crack/
2024,['hybrid'],Trainwreck,"[['3-5-grams', '33'], ['7-grams', '62'], ['14-grams', '110'], ['28-grams', '200']]",greensociety.ca,https://www.greensociety.ca/product/trainwreck/
2025,['hybrid'],Purple Space Cookies by WesCana,"[['3-5-grams', '35'], ['7-grams', '68'], ['14-grams', '130'], ['28-grams', '240']]",greensociety.ca,https://www.greensociety.ca/product/purple-space-cookies-by-wescana/
2026,['indica'],Cactus Breath by ThugPug Genetics,"[['3-5-grams', '40'], ['7-grams', '75'], ['14-grams', '145'], ['28-grams', '280']]",greensociety.ca,https://www.greensociety.ca/product/cactus-breath-by-thugpug-genetics/
2027,['indica'],Strawberry Cheesecake,"[['3.5 Grams', '34'], ['7 Grams', '64'], ['14 Grams', '120'], ['28 Grams', '220']]",greensociety.ca,https://www.greensociety.ca/product/strawberry-cheesecake/
2030,['hybrid'],Hawaiian Cookies,"[['3-5-grams', '33'], ['7-grams', '64'], ['14-grams', '120'], ['28-grams', '220']]",greensociety.ca,https://www.greensociety.ca/product/hawaiian-cookies/
2033,['hybrid'],Chernobyl by TGA Subcool,"[['3-5-grams', '40'], ['7-grams', '75'], ['14-grams', '145'], ['28-grams', '280']]",greensociety.ca,https://www.greensociety.ca/product/chernobyl-by-tga-subcool/
2034,['indica'],Vanilla Kush,"[['3-5-grams', '33'], ['7-grams', '62'], ['14-grams', '110'], ['28-grams', '200']]",greensociety.ca,https://www.greensociety.ca/product/vanilla-kush/
2209,['hybrid'],Zedd,"[['3.5 Grams', '30'], ['14 Grams', '110'], ['7 Grams', '60'], ['28 Grams', '200']]",greensociety.ca,https://www.greensociety.ca/product/zedd/
2233,['hybrid'],Black Amnesia Haze,"[['28 Gram', '200'], ['14 Gram', '110'], ['7 Gram', '60'], ['3.5 Gram', '32']]",greensociety.ca,https://www.greensociety.ca/product/black-amnesia-haze/
2236,['indica'],Bubba’s Gift,"[['28 Gram', '180'], ['7 Gram', '64']]",greensociety.ca,https://www.greensociety.ca/product/bubbas-gift/
2237,['hybrid'],Burmese Kush,"[['28 Grams', '220'], ['14 Grams', '115'], ['7 Grams', '66'], ['3.5 Grams', '33']]",greensociety.ca,https://www.greensociety.ca/product/burmese-kush/
2251,['hybrid'],Master Yoda,"[['28 Gram', '250'], ['3.5 Gram', '35'], ['14 Gram', '135'], ['7 Gram', '70']]",greensociety.ca,https://www.greensociety.ca/product/master-yoda/
2258,['hybrid'],UK Cheese Oz,"[['28 Grams', '130']]",greensociety.ca,https://www.greensociety.ca/product/uk-cheese-ounce/
2275,['indica'],Tuna Kush,"[['3.5 Grams', '40'], ['7 Grams', '80'], ['14 Grams', '150'], ['28 Grams', '280']]",greensociety.ca,https://www.greensociety.ca/product/tuna-kush/
2276,['indica'],Purple Lightning,"[['28 Grams', '220'], ['3.5 Grams', '33'], ['14 Grams', '115'], ['7 Grams', '60']]",greensociety.ca,https://www.greensociety.ca/product/purple-lightning/
2279,['hybrid'],God’s Gift,"[['28 Gram', '200'], ['14 Gram', '110'], ['7 Gram', '66'], ['3.5 Gram', '33']]",greensociety.ca,https://www.greensociety.ca/product/gods-gift/
2282,['hybrid'],Chemdawg,"[['3.5 Grams', '32'], ['7 Grams', '60'], ['14 Grams', '100'], ['28 Grams', '180']]",greensociety.ca,https://www.greensociety.ca/product/chemdawg/
2284,['hybrid'],Raspberry Kush,"[['3.5 Grams', '32'], ['7 Grams', '60'], ['14 Grams', '100'], ['28 Grams', '180']]",greensociety.ca,https://www.greensociety.ca/product/raspberry-kush/
2293,['hybrid'],Lemon Skunk By Green Organics,"[['14 Gram', '74'], ['7 Gram', '44'], ['3.5 Gram', '24'], ['28 Gram', '139']]",greensociety.ca,https://www.greensociety.ca/product/lemon-skunk/
