,categories,name,prices,site,url
2743,"['420 special', 'flash deal', 'flower 2 for $300', 'flower mix-n-match 28g']",Zombie OG (28g Special),"[['', '180.00']]",herbapproach.com,https://herbapproach.com/product/zombie-og-28g-special/
2744,"['flowers', 'pre-rolled packs', 'sativa']",Sativa Pre-Rolled joint,"[['', '5.00']]",herbapproach.com,https://herbapproach.com/product/sativa-pre-rolled-joint/
2746,"['420 special', 'flash deal', 'flower 2 for $300', 'flower mix-n-match 28g']",King Kush (28g Special),"[['', '170.00']]",herbapproach.com,https://herbapproach.com/product/king-kush-28g-special-2/
2748,"['420 special', 'flash deal', 'flower 2 for $300', 'flower mix-n-match 28g']",XJ 13 (28g Special),"[['', '175.00']]",herbapproach.com,https://herbapproach.com/product/xj-13-28g-special/
2754,"['flowers', 'indica', 'pre-rolled packs']",Indica Pre-Rolled joint,"[['', '5.00']]",herbapproach.com,https://herbapproach.com/product/indica-pre-rolled-joint/
708,['indica'],1 Oz Smalls - Island Pink,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Smalls--Island-Pink
709,['sativa'],Super Silver Haze,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Super-Silver-Haze
710,['indica'],Grand Daddy Purple,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Grand-Daddy-Purple
711,['sativa'],1oz Love Potion Deal,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/1oz-Love-Potion-Deal
712,['hybrid'],Blue Hawaiian,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Blue-Hawaiian
713,['sativa'],Tangie,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Tangie
714,['sativa'],Green Goblin,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Green-Goblin
715,['hybrid'],Cookies N Cream,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Cookies-N-Cream
716,['hybrid'],Lemon Violator,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Lemon-Violator
717,['hybrid'],1oz Wifi Deal,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/1oz-Wifi-Deal
718,['sativa'],Citrique,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Citrique
719,['sativa'],Cookies Haze,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Cookies-Haze
720,['sativa'],Lemon Thai,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Lemon-Thai
721,['indica'],Wildberry,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Wildberry
722,['living soil organics'],L.S.O. Citron #1,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/LSO-Citron-1
