,categories,name,prices,site,url
57,['pre-rolls'],BXN Premium Pre-Roll (Hybrid Mix) – 3 Pack,"[['', '12']]",budexpressnow.ca,https://www.budexpressnow.ca/product/bxn-premium-pre-roll-sativa-mix-3-pack/
58,['extras'],THC INFUSED GUMMY BEARS,"[['', '20']]",budexpressnow.ca,https://www.budexpressnow.ca/product/thc-infused-gummy-bears/
59,['pre-rolls'],BXN Premium Pre-Roll (Indica Mix) – 3 Pack,"[['', '12']]",budexpressnow.ca,https://www.budexpressnow.ca/product/bxn-premium-pre-roll-indica-mix-3-pack-2/
60,['oil concentrates'],PHEONIX TEARS (THC) – MISS ENVY,"[['', '29']]",budexpressnow.ca,https://www.budexpressnow.ca/product/thc-pheonix-tears-miss-envy/
61,['vapes'],TUCANN Disposable Distillate Vape Pens,"[['', '50']]",budexpressnow.ca,https://www.budexpressnow.ca/product/tucann-disposable-distillate-vape-pens/
62,['vapes'],SOVRIN EXTRACTS – REFILL CARTRIDGE,"[['', '51-60']]",budexpressnow.ca,https://www.budexpressnow.ca/product/sovrin-extracts-refill-cartridge/
65,['vapes'],Rechargeable Disposable Distillate Vape Pens by Smoke Bombs,"[['', '45']]",budexpressnow.ca,https://www.budexpressnow.ca/product/rechargeable-disposable-distillate-vape-pens-by-smoke-bombs/
66,['edibles'],Ed & Bills – Watermelons (200mg),"[['', '25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-watermelons-200mg/
67,['edibles'],Ed & Bills – Sour Berries (200mg),"[['', '25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-sour-berries-200mg/
68,['edibles'],Ed & Bills – Coke Bottles (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-coke-bottles-200mg/
69,['edibles'],Ed & Bills – Sour Gummy Bears (200mg),"[['', '25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-sour-gummy-bears-200mg/
70,['oil concentrates'],PHEONIX TEARS (CBD OIL) – MISS ENVY,"[['', '55']]",budexpressnow.ca,https://www.budexpressnow.ca/product/oil-pheonix-tears-miss-envy/
73,['edibles'],Ed & Bills – Peaches (200mg),"[['', '25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-peaches-200mg/
74,['edibles'],Ed & Bills – Blue Raspberries (200mg),"[['', '25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-blue-raspberries-200mg/
75,['edibles'],CBD Gummy Bears (100mg),"[['', '18']]",budexpressnow.ca,https://www.budexpressnow.ca/product/cbd-gummy-bears-100mg/
76,['edibles'],Ed & Bills – Sour Keys (200mg),"[['', '25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-sour-keys-200mg/
77,['edibles'],Ed & Bills – Sour Patch Kids (200mg),"[['', '25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-sour-patch-kids-200mg/
78,['edibles'],Ed & Bills – Cherry Coke Bottles (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-cherry-coke-bottles-200mg/
79,['edibles'],Ed & Bills – Cherries (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-cherries-200mg/
80,['edibles'],Ed & Bills – Grapes (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-grapes-200mg/
81,['hash'],Honey Moroccan Blonde Hash,"[['3-5-grams', 49.0], ['7-grams', 85.0], ['14-grams', 155.0], ['28-grams', 320.0]]",budexpressnow.ca,https://www.budexpressnow.ca/product/moroccan-hash/
82,['edibles'],Ed & Bills – Rice Crispies – Regular (100mg),"[['', '13']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-rice-crispies-regular-100mg/
84,['edibles'],Ed & Bills – Grapefruits (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-grapefruits-200mg/
85,['edibles'],Ed & Bills – Neon Worms (200mg),"[['', '25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-neon-worms-200mg/
86,['capsules'],Miss Envy CBD Capsules – 20mg (30 caps),"[['', '70']]",budexpressnow.ca,https://www.budexpressnow.ca/product/miss-envy-cbd-capsules-20mg-30-caps/
87,['edibles'],Ed & Bills – Bubblegum Coke Bottles (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-bubblegum-coke-bottles-200mg/
88,['accessories'],Juicy Jay’s Flavored Rolling Papers – Cotton Candy (1 1/4 SIZE),"[['', '3.25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/juicy-jays-flavored-rolling-papers-cotton-candy-1-1-4-size/
89,['edibles'],Ed & Bills – Peach Hearts (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-peach-hearts-200mg/
90,['edibles'],Ed & Bills – Sour Poppers (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-sour-poppers-200mg/
91,['edibles'],Ed & Bills – Sour Gummy Fishes (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-sour-gummy-fishes-200mg/
92,['tinctures / topicals'],Delush – Solvent-Free Tincture – 600mg CBD,"[['', '70']]",budexpressnow.ca,https://www.budexpressnow.ca/product/delush-solvent-free-tincture-600mg-cbd/
93,['edibles'],Ed & Bills – Cupcake Candies (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-cupcake-candies-200mg/
94,['tinctures / topicals'],300mg CBD Tincture- Miss Envy,"[['', '50']]",budexpressnow.ca,https://www.budexpressnow.ca/product/300mg-cbd-tincture-miss-envy-2/
95,['tinctures / topicals'],Buddha Buddah by Miss Envy Botanicals,"[['', '35']]",budexpressnow.ca,https://www.budexpressnow.ca/product/buddha-buddah-miss-envy-botanicals/
96,['edibles'],Ed & Bills – Mini Chocolate Chip Cookies – 4 Pack (160mg),"[['', '17']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-mini-chocolate-chip-cookies-4-pack-160mg/
97,['edibles'],Ed & Bills – Chocolate Chip Cookies (100mg),"[['', '13']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-chocolate-chip-cookies-100mg/
99,['accessories'],Juicy Jay’s Flavored Rolling Papers – Grape (1 1/4 SIZE),"[['', '3.25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/juicy-jays-flavored-rolling-papers-grape-1-1-4-size-copy/
100,['e-juice'],Watermelon Wonder – THC Infused E-Juice – QNTM Clouds,"[['', '40-70']]",budexpressnow.ca,https://www.budexpressnow.ca/product/watermelon-wonder-thc-infused-e-juice-qntm-clouds/
101,['e-juice'],Mango Madness – THC Infused E-Juice – QNTM Clouds,"[['', '40-70']]",budexpressnow.ca,https://www.budexpressnow.ca/product/mango-madness-thc-infused-e-juice-qntm-clouds/
102,['edibles'],Ed & Bills – The Honey Pot (200mg),"[['', '25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-the-honey-pot-200mg/
103,['e-juice'],Strawberry Apple Mint – THC Infused E-Juice – QNTM Clouds,"[['', '40-70']]",budexpressnow.ca,https://www.budexpressnow.ca/product/strawberry-apple-mint-thc-infused-e-juice-qntm-clouds/
104,['edibles'],Ed & Bills – Rice Crispies – Chocolate (100mg),"[['', '13']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-rice-crispies-chocolate-100mg/
106,['tinctures / topicals'],Delush – Sweet Heart Bath Bombs – 75mg CBD,"[['', '15']]",budexpressnow.ca,https://www.budexpressnow.ca/product/delush-sweet-heart-bath-bombs-75mg-cbd/
107,['shatter'],OSUKA EXTRACTS – MIYAGI’S DEATH TOUCH (INDICA),"[['', '50']]",budexpressnow.ca,https://www.budexpressnow.ca/product/osuka-extracts-miyagis-death-touch-indica/
108,['e-juice'],Strawberry Bliss – THC Infused E-Juice – QNTM Clouds,"[['', '40']]",budexpressnow.ca,https://www.budexpressnow.ca/product/strawberry-bliss-thc-infused-e-juice-qntm-clouds/
109,['tinctures / topicals'],Delush – The Magic Stick – 300mg CBD,"[['', '35']]",budexpressnow.ca,https://www.budexpressnow.ca/product/delush-the-magic-stick-300mg-cbd/
110,['edibles'],Ed & Bills – Rice Crispies – Rainbow (100mg),"[['', '13']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-rice-crispies-rainbow-100mg/
