,categories,name,prices,site,url
4917,"['promotion', 'tga speicals', 'variety packs']",Half Ounce Mix And Match,"[['', '120.00']]",thegreenace.ca,https://thegreenace.ca/product/half-ounce-mix-and-match/
312,['new product'],PINK TUNA KUSH ROSIN BY SHIPWRECK EDIBLES,"[['', '55.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/pink-tuna-kush-rosin-by-shipwreck-edibles/
313,['new product'],Pink Tunas Sugar Wax (Half Ounce),"[['', '250.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/pink-tunas-sugar-wax-half-ounce/
339,['new product'],THC Distillate in Jars (Delta-9),"[['', '500.00-1,650.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/thc-distillate-in-jars-delta-9/
340,['uncategorized'],THC Infused Gummie Bears,"[['', '13.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/thc-infused-gummie-bears/
347,['uncategorized'],THC Vape Pens,"[['', '10.00-40.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/thc-vape-pens/
348,['uncategorized'],THCa Diamonds and Sauce,"[['', '50.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/thca-diamonds/
1896,['value menu'],AAAA+ Half Gram Shatter,"[['', '17.50']]",greensociety.ca,https://www.greensociety.ca/product/aaaa-half-gram-shatter/
418,['uncategorized'],50mgTHC Bath Bomb Clementine – RELEAF,"[['', '15']]",buymyweedonline.ca,https://buymyweedonline.ca/product/50mgthc-bath-bomb-clementine-releaf/
1986,['value menu'],BC Rockstar Sampler,"[['', '9.99']]",greensociety.ca,https://www.greensociety.ca/product/bc-rockstar-sampler/
1988,['value menu'],Death Bubba Sampler,"[['', '12.00']]",greensociety.ca,https://www.greensociety.ca/product/death-bubba-sampler/
1994,['the green room'],Green Society Pop Sockets,"[['', '8.99']]",greensociety.ca,https://www.greensociety.ca/product/green-society-pop-sockets/
2031,['the green room'],Orange Haze,"[['3-5-grams', '33'], ['7-grams', '62'], ['14-grams', '110'], ['28-grams', '200']]",greensociety.ca,https://www.greensociety.ca/product/orange-haze/
